label,value
"MFR - Medford, Oregon, USA (United States)",MFR
"MGA - Managua, Nicaragua (Nicaragua)",MGA
"MGM - Montgomery, Alabama, USA (United States)",MGM
"MHT - Manchester, New Hampshire, USA (United States)",MHT
"MIA - Miami, Florida, USA (United States)",MIA
"MID - Merida, Mexico (Mexico)",MID
"MKE - Milwaukee, Wisconsin, USA (United States)",MKE
"MKG - Muskegon, Michigan, USA (United States)",MKG
"MLB - Melbourne, Florida, USA (United States)",MLB
"MLH - Mulhouse, France (France)",MLH
"MLI - Moline, Illinois, USA (United States)",MLI
"MLU - Monroe, Louisiana, USA (United States)",MLU
"MME - Tees-Side, England, (U.K.) (United Kingdom)",MME
"MOB - Mobile, Alabama, USA (United States)",MOB
"MOT - Minot, North Dakota, USA (United States)",MOT
"MPL - Montpellier, France (France)",MPL
"MQT - Marquette, Michigan, USA (United States)",MQT
"MRS - Marseille, France (France)",MRS
"MRY - Monterey, California, USA (United States)",MRY
"MSL - Muscle Shoals, Alabama, USA (United States)",MSL
"MSN - Madison, Wisconsin, USA (United States)",MSN
"MSO - Missoula, Montana, USA (United States)",MSO
"MSP - Minneapolis/St.Paul, Minnesota, (United States)",MSP
"MSY - New Orleans, Louisiana, USA (United States)",MSY
"MTJ - Montrose, Colorado, USA (United States)",MTJ
"MTY - Monterrey, Mexico (Mexico)",MTY
"MUC - Munich, Germany (Germany)",MUC
"MXP - Milan, Italy (Italy)",MXP
"MYR - Myrtle Beach, South Carolina, U (United States)",MYR
"MZT - Mazatlan, Mexico (Mexico)",MZT
"NAP - Naples, Italy (Italy)",NAP
"NAS - Nassau, Bahamas (Bahamas)",NAS
"NBO - Nairobi, Kenya (Kenya)",NBO
"NCE - Nice, France (France)",NCE
"NCL - Newcastle, England, (U.K.) (United Kingdom)",NCL
"NDJ - N'Djamena, Chad (Chad)",NDJ
"NGO - Nagoya, Japan (Japan)",NGO
"NGS - Nagasaki, Japan (Japan)",NGS
"NIM - Niamey, Niger (Niger)",NIM
"NKC - Nouakchott, Mauritania (Mauritania)",NKC
"NRT - Tokyo, Japan (Japan)",NRT
"NSI - Yaounde-Nsimalen, Rep. Of Camer (Cameroons)",NSI
"NTE - Nantes, France (France)",NTE
